P2_1_B,lemma
"apoyo para las pymes para reconstruir, atender con mayor preocupación a los enfermos catastróficos",apoyo pyme mayor preocupación enfermo catastrófico
"fiscalizar los programas de apoyo a las comunidades que realmente se ejecuten """,programa apoyo comunidad
"3935	las pensiones de los jubilados no han logrado mejoras para ellos, solo mejoran las pensiones solidarias.",pensión jubilado mejora pensión solidario
3936	se debe reformar la ley 3500 (derogar) y crear una afp que la administre el estado,ley estado
3937	que todos aportemos y resivamos de la misma manera y que no se tan grande la brecha entre las clasese,manera grande brecha clase
"3938	""tener mas recursos para los adultos. no hay especialistas.",recurso adulto
"falta de stock posta. hay que comprar y son muy caros""",falta stock posta
"3939	""-aranceles mas bajos, eliminar a la banca,",bajo banca
-mayor acceso de becas y creditos,mayor acceso beca credito
"mayor equidad para los alumnos""",mayor equidad alumno
"3940	""no más listas de espera.",lista espera
atención más rápida.,atención rápido
"dientes, atención dental.",diente atención dental
"atención al cliente, más ética profesional.",atención cliente ético profesional
falta de insumos y medicamentos.,falta insumo medicamento
"repara sistema de salud completa.""",sistema salud completo
"3941	""- mejoramiento de los establecimientos",mejoramiento establecimiento
- derecho a educación digna,derecho educación digno
"- educación de calidad""",educación calidad
"3942	""-salud cara tanto privado como publica (dejar de cobrar las consultas particulares      )",salud cara privado consulta particular
-aca en calama se piensa q´ todos trabajan con codeco-falta profesionales de calidad,aca calama ´ codecofalta profesional calidad
-largas listas de espera-,largo lista espera
"-hora por telefono no sirve""",hora teléfono
3943	problemas profundos en las afp. pensiones miserables. sancionan de miedo al futuro por que va a pasar y ese miedo se transforma en rabia por ver ese desigualdad,problema profundo pensión miserable
"3944	""- el comercio legal paga muchos derechos e impuesto en desventaja con comercio ambulante- comercio pyme paga mucho respecto de grandes empresas.",comercio legal derecho impuesto desventaja comercio ambulante comercio respecto grande empresa
"- la salud: pocos recursos - atención más eficiente y de calidad, más digna - falta de medicos con vocación y que trabajen en el sistema público.""",salud recurso atención eficiente calidad digno falta medico vocación sistema público
"3945	""Al tener el control de las situaciones tanto lícitas como ilícitas",control situación lícito ilícito
"Mejores estrategias de control para  estos desmanes""",mejores estrategia control desmán
"3946	""- Lista de espera más expedita",lista espera expedito
- que los servicios de urgencia sean  mas rapidos,servicio urgencia rapido
"- Remedios sean mas baratos""",remedios barato
"3947	""- desigualdad en salud",desigualdad salud
- desabastecimiento de insumos,desabastecimiento insumo
- no + listas de espera.,lista espera
"3948	""- bajar los años (expectativas de vida,",año expectativa vida
modalidad de cálculo).,modalidad cálculo
- tasa de rentabilidad.,tasa rentabilidad
- reformar el sistema de pensiones.,sistema pensión
"- modificaciones puntuales al sistema. """,modificación puntual sistema
"3949	acceso al transporte público no adaptado, veredas mal estado, acceso a servicios públicos, falta de rampas, baños no adaptados, edificios no adaptados",acceso transporte público estado acceso servicio público falta rampa baño adaptado edificio adaptado
"3950	""larga espera, por hora punto",largo hora punto
listas de espera. llaman a ultimahora.no dan solución mala atención . citan y al final no sirve porque siempre hay que volver por otras cosas punto la salud es lo principal todo se hace teniendo salud .,lista espera
"3951	""pocos doctores, mala atención.",doctor malo atención
"tienen pocos especialistas. las emergencias no tienen respuestas efectivas. si uno reclama se molestan (los profesionales) falta de medicamento. beneficios + transversa""",especialista
.promedios muy caros,promedio caro
".mala atención en consultorios y largas esperas en urgencia. """,malo atención consultorio largo urgencia
"3953	-existen lugares, intitucines publicas, locales comerciales, hospitales entre otros que no cuentan con el acceso o instlaciones acordes a las necesidades de personas con discapacidad",lugar publico local comercial hospital acceso instlación acorde necesidad persona discapacidad
"3954	porque el actual sistema es macabro, ha demostrado ser un fracaso.Los jubilados no tienen cómo vivir.",actual sistema macabro fracaso
"3955	es el debate de las pensiones, se habló de los fondos de la administración de las afp las pensiones",debate pensión fondo administración pensión
"3956	se necesita tranquilidad en poder salir, acceder a los servicios básicos en el diario vivir. estoy atemorizado/a y paralizado/a ante la falta de seguridad pública.",tranquilidad servicio básico diario
"3957	""-mejorar control de la salud en la inmigración.",control inmigración
"mejorar universalmente el acceso y la atención de salud, incluyendo medicamentos""",acceso atención salud medicamento
"3958	los participantes de manera unánime señalaron que la educación debe ser un derecho que garantice el estado para toda la ciudadanía y que no sea administrado por privados, que deje de ser una empresa con fines de lucro.",participante manera unánime educación derecho estado ciudadanía privado empresa fin lucro
"3959	""se elimine sistema de afp",sistema
pensión sea estatal (como el antiguo servicio de seguro social),pensión estatal antiguo servicio seguro social
"3960	""- los usuarios deben esperar mucho tiempo para que se le entregue una atención",usuario deber tiempo atención
- listas de espera muy grandes,lista espera grande
"- no todas las personas tienen prioridad para ser atendidas""",persona prioridad
"3961	""- muy altos los remedios, las familias no tienen par cubrir los costos de salud en caso de enfermedad",alto remedio familia par costo salud caso enfermedad
"- las horas de interconsultas se suspendieron""",hora interconsulta
- carencia de especialistas,carencia especialista
- los profesionales deben aportaron en el sector público,profesional sector público
- el sistema de salud,sistema salud
"(fonasa c isapre) """,c
"sistema de educación, ya",sistema educación
que tenemos derechos pero,derecho
"3964	""- falta de especialistas ( geriatras )",falta especialista
-  lista de espera muy larga,lista espera largo
- falta de medicamentos y hay que comprarlos de forma particular- mala atención,falta medicamento forma particular malo
"3965	educacion gratuita para personas que realmente lo necesita, que los ricos pagues su educación, no que los pobres paguen la eeducacion a los ricos",educación gratuito persona rico educación pobre eeducación rico
3966	que exista una cultura en cuanto a la discapacidad que se inculque en los colegios para eliminar las barreras actitudinarias que vivimos a diario de falta de solidaridad y empatía,cuanto discapacidad colegio barrera actitudinario diario falta solidaridad
"3967	""-desigualdad de ingresos",desigualdad ingreso
-mala distribución de ingresos,malo distribución ingreso
-sueldos acordes a las necesidades de las personas,sueldo acorde necesidad persona
"-sueldos no alcanzan a cubrir las necesidades básicas""",sueldo necesidad básico
"3968	""- menor espera para una intervención o tratamiento u operación.",menor espera intervención tratamiento operación
"- mejorar la infraestructura de establecimientos locales ( posta, etc.)",infraestructura establecimiento local posta
"- mayores insumos y medicamentos. """,mayor insumo medicamento
"3969	""-criterio solidos para evaluar discapacidad",criterio solido discapacidad
-falta de información a los pacientes y la entrega tardía.,falta información paciente entrega
"3970	""mejor acceso, con mejores caminos hacia su localidad. como ha existido un aumento progresivo de la población, las pequeñas calles se congestionan dificultando el transporte.",mejor acceso mejor camino localidad
"transporte no integrado a transantiago por lo que se genera un doble pago de tarifa """,transporte integrado transantiago doble pago tarifa
"3971	existe un tremendo problema en esta área, referente a falta de acceso a horas médicas y calidad del sector público",tremendo problema área referente falta acceso hora médico calidad sector público
"3972	""escases de inseguros en los hospitales;",escase inseguro hospital
